	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	nident	sname
849	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2238	tr|A0A087X1X6|A0A087X1X6_HUMAN	90.0	10	0	1	1	10	322	330	93.0	17.7	9	tr|A0A087X1X6|A0A087X1X6_HUMAN Forkhead box protein N2 OS=Homo sapiens OX=9606 GN=FOXN2 PE=1 SV=1
1000	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2262	tr|B3KUL3|B3KUL3_HUMAN	50.0	18	1	1	1	10	85	102	82.0	17.7	9	tr|B3KUL3|B3KUL3_HUMAN Ferredoxin-fold anticodon-binding domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FDXACB1 PE=1 SV=1
1001	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2262	tr|F6VJS9|F6VJS9_HUMAN	50.0	18	1	1	1	10	9	26	83.0	17.7	9	tr|F6VJS9|F6VJS9_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1
4647	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2866	tr|A6NEM2|A6NEM2_HUMAN	90.0	10	1	0	1	10	839	848	4.5	21.6	9	tr|A6NEM2|A6NEM2_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2
9907	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_3587	tr|H0YJ08|H0YJ08_HUMAN	90.0	10	1	0	1	10	47	56	95.0	17.7	9	tr|H0YJ08|H0YJ08_HUMAN AP-1 complex subunit gamma-like 2 (Fragment) OS=Homo sapiens OX=9606 GN=AP1G2 PE=1 SV=1
15094	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_4436	tr|A6NL54|A6NL54_HUMAN	60.0	15	1	1	1	10	439	453	7.3	20.8	9	tr|A6NL54|A6NL54_HUMAN Zinc finger MYM-type protein 3 OS=Homo sapiens OX=9606 GN=ZMYM3 PE=1 SV=1
15095	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_4436	tr|A6NHB5|A6NHB5_HUMAN	60.0	15	1	1	1	10	439	453	33.0	18.9	9	tr|A6NHB5|A6NHB5_HUMAN Zinc finger MYM-type protein 3 OS=Homo sapiens OX=9606 GN=ZMYM3 PE=1 SV=1
15096	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_4436	tr|A6NHN7|A6NHN7_HUMAN	60.0	15	1	1	1	10	439	453	35.0	18.9	9	tr|A6NHN7|A6NHN7_HUMAN Zinc finger MYM-type protein 3 OS=Homo sapiens OX=9606 GN=ZMYM3 PE=1 SV=1
24563	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_5603	tr|I3L4J1|I3L4J1_HUMAN	90.0	10	1	0	1	10	189	198	3.4	21.9	9	tr|I3L4J1|I3L4J1_HUMAN Vesicle-fusing ATPase (Fragment) OS=Homo sapiens OX=9606 PE=1 SV=3
26220	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_5883	tr|Q5JR04|Q5JR04_HUMAN	90.0	10	1	0	1	10	848	857	0.66	23.9	9	tr|Q5JR04|Q5JR04_HUMAN RNA helicase OS=Homo sapiens OX=9606 GN=MOV10 PE=1 SV=1
26221	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_5883	tr|F8VR31|F8VR31_HUMAN	90.0	10	1	0	1	10	761	770	2.7	21.9	9	tr|F8VR31|F8VR31_HUMAN DNA replication ATP-dependent helicase/nuclease OS=Homo sapiens OX=9606 GN=DNA2 PE=1 SV=3
26222	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_5883	tr|H0Y455|H0Y455_HUMAN	90.0	10	1	0	1	10	321	330	3.5	21.9	9	tr|H0Y455|H0Y455_HUMAN DNA replication ATP-dependent helicase/nuclease (Fragment) OS=Homo sapiens OX=9606 GN=DNA2 PE=1 SV=1
29632	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_6313	tr|I3L1V6|I3L1V6_HUMAN	90.0	10	1	0	1	10	6	15	4.8	21.2	9	tr|I3L1V6|I3L1V6_HUMAN Brain protein I3 (Fragment) OS=Homo sapiens OX=9606 GN=BRI3 PE=4 SV=1
31758	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_6567	tr|X6RAN8|X6RAN8_HUMAN	75.0	12	1	1	1	10	582	593	8.6	20.8	9	tr|X6RAN8|X6RAN8_HUMAN NAD(P)H oxidase (H(2)O(2)-forming) OS=Homo sapiens OX=9606 GN=DUOX2 PE=1 SV=1
46436	wuhan_hu_1|9|nucleocapsid_phosphoprotein|MN908947|28274|29533_367	tr|J3KRP8|J3KRP8_HUMAN	100.0	9	0	0	2	10	3	11	91.0	17.7	9	tr|J3KRP8|J3KRP8_HUMAN [F-actin]-monooxygenase MICAL3 (Fragment) OS=Homo sapiens OX=9606 GN=MICAL3 PE=1 SV=1
46505	wuhan_hu_1|9|nucleocapsid_phosphoprotein|MN908947|28274|29533_394	tr|H0YDS2|H0YDS2_HUMAN	64.286	14	1	1	1	10	91	104	98.0	17.7	9	tr|H0YDS2|H0YDS2_HUMAN Probable tRNA (uracil-O(2)-)-methyltransferase (Fragment) OS=Homo sapiens OX=9606 GN=TRMT44 PE=1 SV=1
48768	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_1495	tr|E9PB94|E9PB94_HUMAN	69.23100000000001	13	1	1	1	10	504	516	48.0	18.5	9	tr|E9PB94|E9PB94_HUMAN Rap guanine nucleotide exchange factor 4 OS=Homo sapiens OX=9606 GN=RAPGEF4 PE=1 SV=1
48769	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_1495	tr|B7Z278|B7Z278_HUMAN	69.23100000000001	13	1	1	1	10	284	296	50.0	18.5	9	tr|B7Z278|B7Z278_HUMAN Rap guanine nucleotide exchange factor 4 OS=Homo sapiens OX=9606 GN=RAPGEF4 PE=1 SV=1
49247	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_1628	tr|B8ZZ60|B8ZZ60_HUMAN	81.818	11	1	1	1	10	198	208	34.0	18.9	9	tr|B8ZZ60|B8ZZ60_HUMAN Protein-glucosylgalactosylhydroxylysine glucosidase OS=Homo sapiens OX=9606 GN=PGGHG PE=1 SV=1
49248	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_1628	tr|E7EMA9|E7EMA9_HUMAN	81.818	11	1	1	1	10	375	385	39.0	18.9	9	tr|E7EMA9|E7EMA9_HUMAN Protein-glucosylgalactosylhydroxylysine glucosidase OS=Homo sapiens OX=9606 GN=PGGHG PE=1 SV=1
