	qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	nident	sname
1	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2262	tr|B3KUL3|B3KUL3_HUMAN	100.0	5	0	0	1	5	85	89	66.0	17.7	5	tr|B3KUL3|B3KUL3_HUMAN Ferredoxin-fold anticodon-binding domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FDXACB1 PE=1 SV=1
2	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2262	tr|F6VJS9|F6VJS9_HUMAN	100.0	5	0	0	1	5	9	13	68.0	17.7	5	tr|F6VJS9|F6VJS9_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1
3	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_2262	tr|A0A087WZ62|A0A087WZ62_HUMAN	100.0	5	0	0	1	5	174	178	96.0	16.9	5	tr|A0A087WZ62|A0A087WZ62_HUMAN Mannosyltransferase OS=Homo sapiens OX=9606 PE=3 SV=1
6	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_226	tr|A0A087WVS3|A0A087WVS3_HUMAN	100.0	5	0	0	1	5	370	374	31.0	18.5	5	tr|A0A087WVS3|A0A087WVS3_HUMAN Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=1
7	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_226	tr|A0A087WVW4|A0A087WVW4_HUMAN	100.0	5	0	0	1	5	368	372	31.0	18.5	5	tr|A0A087WVW4|A0A087WVW4_HUMAN Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=1
8	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_226	tr|A0A087WZC4|A0A087WZC4_HUMAN	100.0	5	0	0	1	5	286	290	31.0	18.5	5	tr|A0A087WZC4|A0A087WZC4_HUMAN Protein-glutamine gamma-glutamyltransferase 5 OS=Homo sapiens OX=9606 GN=TGM5 PE=1 SV=1
9	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_226	tr|E9PFX0|E9PFX0_HUMAN	100.0	5	0	0	1	5	101	105	32.0	18.5	5	tr|E9PFX0|E9PFX0_HUMAN Hepatitis A virus cellular receptor 1 OS=Homo sapiens OX=9606 GN=HAVCR1 PE=1 SV=1
10	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_226	tr|E5RIF6|E5RIF6_HUMAN	100.0	5	0	0	1	5	101	105	38.0	18.5	5	tr|E5RIF6|E5RIF6_HUMAN Hepatitis A virus cellular receptor 1 (Fragment) OS=Homo sapiens OX=9606 GN=HAVCR1 PE=1 SV=1
12	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_227	tr|E9PFX0|E9PFX0_HUMAN	100.0	5	0	0	1	5	102	106	35.0	18.5	5	tr|E9PFX0|E9PFX0_HUMAN Hepatitis A virus cellular receptor 1 OS=Homo sapiens OX=9606 GN=HAVCR1 PE=1 SV=1
13	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_227	tr|E5RIF6|E5RIF6_HUMAN	100.0	5	0	0	1	5	102	106	44.0	18.1	5	tr|E5RIF6|E5RIF6_HUMAN Hepatitis A virus cellular receptor 1 (Fragment) OS=Homo sapiens OX=9606 GN=HAVCR1 PE=1 SV=1
15	wuhan_hu_1|1|orf1ab_polyprotein|MN908947|266|21555_228	tr|H0Y8B3|H0Y8B3_HUMAN	100.0	5	0	0	1	5	279	283	96.0	16.9	5	tr|H0Y8B3|H0Y8B3_HUMAN Adenosylhomocysteinase 3 (Fragment) OS=Homo sapiens OX=9606 GN=AHCYL2 PE=1 SV=1
